date,Vault_temp,Strain_Gauge_7,Strain_Gauge_8,Strain_Gauge_9,p1ex,p1ey
2022-06-23,23.12886442,16679.24451,91485.18677,81835.73235,-0.778798133,0.014580265
2022-06-24,23.09046244,16589.8876,91380.4624,81735.58585,-0.779236563,0.013866658
2022-06-25,23.22806135,16711.32749,91513.45588,81854.29846,-0.779628116,0.013177298
2022-06-26,23.02392671,16690.77627,91480.39526,81829.1972,-0.77997974,0.012552405
2022-06-27,22.84872026,16625.85517,91431.34026,81781.06493,-0.780295726,0.011990199
2022-06-28,23.00405481,16614.65003,91453.16447,81799.22223,-0.780579709,0.011484861
2022-06-29,23.05630187,16656.55468,91487.67735,81831.73699,-0.780834934,0.011030689
2022-06-30,23.03772694,16676.51431,91491.17106,81841.51955,-0.779777312,-0.03679849
2022-07-01,23.74565231,16737.63073,91553.20161,81890.1206,-0.785595592,-0.036109544
2022-07-02,24.09693402,16873.78023,91704.78874,81983.88414,-0.792693817,0.00088721
2022-07-03,24.27375716,16931.64919,91779.8321,82012.3598,-0.793521196,0.004705036
2022-07-04,24.37031381,16930.68958,91754.09799,81977.24684,-0.793647026,0.004861366
2022-07-05,24.37181527,16947.57145,91761.97661,81979.93839,-0.776960377,-0.054762524
2022-07-06,24.32328947,17015.91842,91837.4971,82053.32671,-0.775304278,-0.060998286
2022-07-07,24.4063485,17045.77116,91878.85924,82082.98026,-0.775300283,-0.061334016
2022-07-08,24.39189225,17028.40717,91855.16225,82058.60103,-0.991974858,-0.167870528
2022-07-09,24.36710836,17058.26763,91888.00655,82089.6414,-0.816382578,0.004722168
2022-07-10,24.31287237,17072.10412,91914.64303,82106.18993,-0.797006918,0.023284443
2022-07-11,24.18635279,17046.51692,91898.32029,82079.13014,-0.79499673,0.02477307
2022-07-12,24.33443407,17043.24009,91941.08419,82091.37041,-0.794904005,0.024420357
2022-07-13,24.38966256,17075.9523,91974.0705,82118.57876,-0.795011372,0.023915253
2022-07-14,24.48269461,17108.04668,92008.05702,82145.79296,-0.792555085,0.01621337
2022-07-15,24.51566617,17144.50003,92047.51167,82176.35808,-0.792403499,0.015054979
2022-07-16,24.53708266,17180.11121,92093.61856,82209.10756,-0.798040025,0.043563191
2022-07-17,24.52780981,17199.52583,92120.50058,82226.38125,-0.798708076,0.046192325
2022-07-18,24.41883856,17164.86519,92085.26194,82187.91064,-0.798819154,0.04599693
2022-07-19,24.60852642,17148.07664,92082.83717,82186.54127,-0.786885538,0.040982666
2022-07-20,24.67501998,17182.76177,92110.80875,82209.6767,-0.797294478,0.0352268
2022-07-21,24.70415141,17218.66003,92149.2224,82238.83206,-0.795599869,0.061846801
2022-07-22,24.7027391,17220.72795,92151.04779,82240.49902,-0.80090242,0.028549589
2022-07-23,24.69839952,17219.22672,92149.05006,82239.26712,-0.829494457,0.008709405
2022-07-24,24.71552712,17306.34986,92117.42597,82415.09732,-0.83237216,0.00658054
2022-07-25,24.76433125,17312.19043,92130.4342,82435.05323,-0.832419436,0.006414405
2022-07-26,24.70859845,17313.84472,92149.23047,82448.29378,-0.832179414,0.006459495
2022-07-27,24.87846417,17324.18773,92169.3141,82462.20959,-0.808865265,0.02453965
2022-07-28,24.98081361,17330.94449,92165.78426,82454.32656,-0.809578976,0.022258097
2022-07-29,24.96853865,17335.20097,92155.34587,82440.67865,-0.809661239,0.021925713
2022-07-30,24.98536835,17353.15919,92165.73143,82449.45007,-0.809672954,0.02181816
2022-07-31,25.04026784,17338.46385,92159.51242,82431.77105,-0.80967656,0.02174277
2022-08-01,24.89239094,17222.49854,92039.79485,82308.88639,-0.80967903,0.021677382
2022-08-02,24.98404629,17153.02412,91969.47557,82250.09335,-0.809681164,0.021618879
2022-08-03,25.0787331,17178.57729,91979.05557,82271.41681,-0.811663073,0.010874329
2022-08-04,24.42609367,17152.54102,91934.53756,82241.17537,-0.811864587,0.009748185
2022-08-05,24.11771934,17071.45,91866.06792,82195.53286,-0.811869926,0.009685234
2022-08-06,24.08904792,17063.65931,91860.05694,82191.2909,-0.811855166,0.009734268
2022-08-07,24.09092722,17063.89982,91860.83281,82191.57078,-0.811839725,0.009790087
2022-08-08,23.85051784,16956.30871,91729.66025,82111.0196,-0.811825606,0.009841561
2022-08-09,23.90438373,16937.33363,91717.44831,82095.91301,-0.811812889,0.009887968
2022-08-10,24.03457914,16988.19209,91768.5793,82140.53927,-0.811801458,0.009929692
2022-08-11,24.09577216,17018.80822,91797.27224,82161.23016,-0.811791183,0.009967192
2022-08-12,24.10077708,17015.24268,91787.13557,82149.9642,-0.811781949,0.010000894
2022-08-13,24.10546217,16988.61707,91755.26934,82118.31532,-0.811773651,0.010031184
2022-08-14,24.13221439,16968.08447,91726.61162,82093.68648,-0.811766192,0.010058407
2022-08-15,24.06027667,16964.11849,91717.74243,82092.99072,-0.811759489,0.010082872
